step 	 hubCount 	 Sws 	 avg_Path_Length 	 Transitivity 	 Clustering 	 Sws2 
1 	 76 	 6.40228427906178 	 4.74712570007172 	 0.0932538904786171 	 0.0944515566737792 	 6.30505247723209
2 	 76 	 6.4094719217345 	 4.74143051168185 	 0.0932465801748128 	 0.0944603750159309 	 6.31321518624695
3 	 76 	 6.41416930459641 	 4.73832959453067 	 0.0932538904786171 	 0.0944231420157349 	 6.31485668104612
4 	 73 	 6.41969971533173 	 4.73480443772986 	 0.0932648580837384 	 0.0944357905469019 	 6.32040476013053
5 	 73 	 6.42807955747583 	 4.72770529078729 	 0.0932465801748128 	 0.094503130614242 	 6.33440922098212
6 	 72 	 6.43615010214316 	 4.72159196691541 	 0.0932429254526926 	 0.0945286058249024 	 6.34432053226792
7 	 69 	 6.44623571387839 	 4.71365044484122 	 0.0932319630050555 	 0.0945528339972787 	 6.35663821668089
8 	 70 	 6.45501664469492 	 4.70760731889698 	 0.0932392710170488 	 0.0945347519421596 	 6.36358100462897
9 	 68 	 6.45443220684916 	 4.70283385981779 	 0.0931362941476226 	 0.0943951727285064 	 6.36063487779
10 	 72 	 6.44489231294781 	 4.69790169238047 	 0.0929011014856336 	 0.0941725763947989 	 6.35229772472103
11 	 76 	 6.44077508859366 	 4.69477025439119 	 0.0927798682972719 	 0.0939991489991493 	 6.34482860383042
12 	 86 	 6.42943108517168 	 4.69186772268766 	 0.0925591971146307 	 0.0937599848710963 	 6.33260043184148
13 	 94 	 6.43683906942312 	 4.686651711456 	 0.0925628258909319 	 0.0937511665289446 	 6.33905204397836
14 	 88 	 6.43496606213403 	 4.68297700254849 	 0.0924633362089248 	 0.0936104293511704 	 6.33450275485947
15 	 102 	 6.44071554804775 	 4.67824627264265 	 0.0924524603019016 	 0.09361455417011 	 6.34118772590155
16 	 104 	 6.42724454296592 	 4.66979200048833 	 0.0920923668012702 	 0.0933631183631187 	 6.33560553013762
17 	 111 	 6.418684679383 	 4.6642585725404 	 0.0918607386497295 	 0.0931991328287627 	 6.33198052257842
18 	 114 	 6.42517980664839 	 4.65972622808222 	 0.0918643403254264 	 0.0932138300656822 	 6.33913891380644
19 	 117 	 6.43191194323605 	 4.65484899815349 	 0.0918643403254264 	 0.0931942337497896 	 6.34444682734111
20 	 130 	 6.43350148969385 	 4.64828701796151 	 0.0917575092149635 	 0.0931314364647701 	 6.34912214558003
21 	 125 	 6.41012617877386 	 4.64185932945719 	 0.0912976979489392 	 0.0928096115133155 	 6.33594351526831
22 	 121 	 6.4061994030879 	 4.63237040089121 	 0.0910552527351869 	 0.0926649550723628 	 6.33902637489286
23 	 120 	 6.39771693900175 	 4.62761525431488 	 0.0908413414394979 	 0.092519675112268 	 6.33559156990277
