step 	 hubCount 	 Sws 	 avg_Path_Length 	 Transitivity 	 Clustering 	 Sws2 
1 	 93 	 5.14599749345046 	 4.72510186329717 	 0.0911975555294394 	 0.092866392866393 	 4.97839231323303
2 	 92 	 5.14066583681138 	 4.71799661218697 	 0.0909660738070986 	 0.0927113147483519 	 4.97756375179205
3 	 91 	 5.14487857146681 	 4.70859619405149 	 0.0908592250127336 	 0.0926548691363508 	 4.98446459672583
4 	 90 	 5.13849961267682 	 4.70242793267103 	 0.090627693754408 	 0.092508965657114 	 4.98314348638331
5 	 91 	 5.14228899945008 	 4.69305193120603 	 0.0905136946044434 	 0.0924312039126855 	 4.98890191718107
6 	 91 	 5.14415322639622 	 4.68580933632438 	 0.0904067716905714 	 0.0923450691969212 	 4.99195674572842
7 	 92 	 5.14432466687323 	 4.68583680507867 	 0.090410314692166 	 0.092357539579762 	 4.99260159802112
8 	 92 	 5.13827976266195 	 4.68006531459354 	 0.0901928504233302 	 0.0921267073118927 	 4.98626494725489
9 	 92 	 5.13348858703547 	 4.67258465717469 	 0.0899647197177577 	 0.0920063681174794 	 4.98772413191857
10 	 91 	 5.13969921404946 	 4.66712142715439 	 0.0899682465012349 	 0.0919820508709399 	 4.99224285581104
11 	 91 	 5.14092480797264 	 4.66783866684979 	 0.0900035295501784 	 0.0919970358859249 	 4.99228894279135
12 	 91 	 5.13336705923654 	 4.67544445970486 	 0.0900176505197098 	 0.0919694503027838 	 4.98267320482907
13 	 90 	 5.1349329570103 	 4.66882448992049 	 0.0899176147508827 	 0.091831803313285 	 4.98227024251682
14 	 90 	 5.12952729948478 	 4.66242427017046 	 0.0896998234255444 	 0.0916661390735466 	 4.98010918691301
15 	 90 	 5.11656359853219 	 4.65583482122419 	 0.0893466745144202 	 0.0913994510290808 	 4.97264824319995
16 	 89 	 5.10966741398663 	 4.65634146713669 	 0.0892359612290547 	 0.0912879301768192 	 4.96604047431324
17 	 88 	 5.11109316231599 	 4.65559065451937 	 0.0892464678178964 	 0.091293185552445 	 4.96712729076071
18 	 87 	 5.09587043670049 	 4.65156495597369 	 0.0889037170781489 	 0.0909757183831259 	 4.9541382245341
19 	 86 	 5.08192909286127 	 4.64615666346198 	 0.0885574092247301 	 0.0906796358648212 	 4.94376289634101
20 	 86 	 5.08806632878032 	 4.64164568359047 	 0.0885782716243276 	 0.090694024768099 	 4.94935271957465
21 	 86 	 5.09414566005135 	 4.63719879747898 	 0.0885991438557907 	 0.0906791425309945 	 4.9532860166707
22 	 85 	 5.08954327815399 	 4.62922980665049 	 0.0883669782420863 	 0.0904606093494984 	 4.94985507966532
23 	 86 	 5.08898448252878 	 4.62392833707214 	 0.0882560879811469 	 0.0903974420641089 	 4.95206986145892
24 	 85 	 5.08821829190709 	 4.61881304460621 	 0.0881451802969597 	 0.0903252919919588 	 4.95359739627805
