step 	 hubCount 	 Sws 	 avg_Path_Length 	 Transitivity 	 Clustering 	 Sws2 
1 	 120 	 7.3380575478617 	 4.75077294022494 	 0.100557324840764 	 0.103953817101965 	 8.26370748775046
2 	 122 	 7.34766634419277 	 4.74531581437226 	 0.100573339703774 	 0.103933055970093 	 8.27155848950403
3 	 117 	 7.35190568147897 	 4.73694700056464 	 0.100453893932155 	 0.103843892732782 	 8.2790633057475
4 	 114 	 7.35105563098938 	 4.7324268644417 	 0.100346434117788 	 0.103740744851856 	 8.27873955293536
5 	 106 	 7.36018708616213 	 4.72730851989196 	 0.100362419849456 	 0.103726582059916 	 8.28657165203487
6 	 107 	 7.36731331432303 	 4.72367654015779 	 0.10038240917782 	 0.103678571085979 	 8.2891046215251
7 	 106 	 7.37457978334206 	 4.71902211234721 	 0.10038240917782 	 0.103673582932842 	 8.29688106798289
8 	 120 	 7.37959384040256 	 4.71057699644432 	 0.100270894749422 	 0.103558320965729 	 8.30251488104782
9 	 118 	 7.36325219291206 	 4.7101527567947 	 0.10003984063745 	 0.103331003701374 	 8.28503647906321
10 	 123 	 7.36419267669423 	 4.70467426635535 	 0.0999362448198916 	 0.103213693028508 	 8.28526734963851
11 	 125 	 7.35688242850512 	 4.69845717163393 	 0.099705108790946 	 0.102913245876209 	 8.27208089343458
12 	 128 	 7.36494517854529 	 4.69350058752613 	 0.0997090822141633 	 0.102897568823495 	 8.27955520787685
13 	 132 	 7.36375674658854 	 4.68862946176502 	 0.0995895269597099 	 0.102823370045592 	 8.28218049262525
14 	 126 	 7.34493437375523 	 4.68371560683056 	 0.0992308611963496 	 0.102561492005937 	 8.26975383686885
15 	 127 	 7.32803273531714 	 4.67773657464634 	 0.0988761358201817 	 0.102265142265142 	 8.25639828643088
16 	 126 	 7.30335557885143 	 4.67632956400983 	 0.098513529669629 	 0.101981619203842 	 8.23598528290541
17 	 127 	 7.29684837902052 	 4.68143264814052 	 0.0985331632653061 	 0.101937260270594 	 8.22342899099091
18 	 124 	 7.29269687770303 	 4.68391094019442 	 0.0985292359201244 	 0.101992129955093 	 8.22350198990585
19 	 127 	 7.29664644597952 	 4.67606708480215 	 0.0984175070753777 	 0.101797146611962 	 8.22154883730462
20 	 128 	 7.28318809934173 	 4.6676311251507 	 0.098058755530753 	 0.101513000031519 	 8.21341760460032
21 	 135 	 7.28817743273412 	 4.65911886340399 	 0.0979469802670919 	 0.101434614767948 	 8.22206987004443
22 	 132 	 7.29708871003077 	 4.65324360206931 	 0.097943075819182 	 0.101440493662716 	 8.23292832181919
23 	 134 	 7.28855027323918 	 4.64768880953471 	 0.097711688725881 	 0.1012527253268 	 8.22751057128331
24 	 128 	 7.28733554691759 	 4.64258877748783 	 0.0975882001195934 	 0.101143876699432 	 8.22769430607111
25 	 129 	 7.27716122628467 	 4.63823955805826 	 0.0973606570448927 	 0.100956464660168 	 8.22014971493092
26 	 126 	 7.27757588241204 	 4.6381602038792 	 0.0973645388939835 	 0.1010054554499 	 8.22427938477418
27 	 120 	 7.28464456131175 	 4.63421385951258 	 0.0973761862987479 	 0.100911393133616 	 8.22361744851364
28 	 127 	 7.28371342640243 	 4.62966625463535 	 0.0972681954137587 	 0.100790074123408 	 8.22179888537128
29 	 127 	 7.27636485654488 	 4.62312563903005 	 0.0970327829624312 	 0.100620744139263 	 8.21959838084721
30 	 128 	 7.27461245568047 	 4.61816905492225 	 0.0969054075610145 	 0.10055474018437 	 8.22302272593129
